tempo_ms,cwnd,rwnd,janela_efetiva
0.5,1024,65535,1024
0.5,1024,65535,1024
500.2,1024,65535,1024
500.4,1024,65535,1024
1000.0,1024,65535,1024
1000.2,1024,65535,1024
1499.9,1024,65535,1024
1500.0,1024,65535,1024
1999.7,1024,65535,1024
1999.9,1024,65535,1024
2000.0,2048,65535,2048
2000.1,2048,65535,2048
2000.1,2048,65535,2048
2000.2,2560,65535,2560
2000.2,2560,65535,2560
2000.3,2970,65535,2969
2000.3,2970,65535,2969
2000.3,3323,65535,3322
2000.3,3323,65535,3322
2000.3,3323,65535,3322
2000.3,3638,65535,3638
2000.4,3638,65535,3638
2500.0,1024,65535,1024
2500.2,1024,65535,1024
2999.8,1024,65535,1024
2999.9,1024,65535,1024
3499.5,1024,65535,1024
3499.6,1024,65535,1024
3999.2,1024,65535,1024
3999.3,1024,65535,1024
3999.4,2048,65535,2048
3999.4,2048,65535,2048
3999.5,2048,65535,2048
4499.1,1024,65535,1024
4499.2,1024,65535,1024
4499.3,2048,65535,2048
4499.3,2048,65535,2048
4499.4,2048,65535,2048
4999.1,1024,65535,1024
4999.1,1024,65535,1024
5498.7,1024,65535,1024
5498.8,1024,65535,1024
5998.4,1024,65535,1024
5998.5,1024,65535,1024
6498.1,1024,65535,1024
6498.2,1024,65535,1024
6997.8,1024,65535,1024
6998.0,1024,65535,1024
7497.6,1024,65535,1024
7497.7,1024,65535,1024
7997.3,1024,65535,1024
7997.4,1024,65535,1024
8497.2,1024,65535,1024
8497.2,1024,65535,1024
8996.9,1024,65535,1024
8997.0,1024,65535,1024
8997.2,2048,65535,2048
8997.3,2048,65535,2048
8997.3,2048,65535,2048
9496.9,1024,65535,1024
9497.0,1024,65535,1024
9996.6,1024,65535,1024
9996.7,1024,65535,1024
9996.8,2048,65535,2048
9996.9,2048,65535,2048
9996.9,2048,65535,2048
9997.0,2560,65535,2560
9997.0,2560,65535,2560
9997.1,2970,65535,2969
9997.2,2970,65535,2969
9997.2,2970,65535,2969
9997.2,3323,65535,3322
9997.3,3323,65535,3322
9997.3,3323,65535,3322
9997.3,3638,65535,3638
9997.3,3638,65535,3638
10497.0,1024,64512,1024
10497.1,1024,64512,1024
10498.3,2048,64512,2048
10498.4,2048,64512,2048
10498.4,2048,64512,2048
10498.6,2560,65535,2560
10498.6,2560,65535,2560
10498.6,2560,65535,2560
10498.8,2970,65535,2969
10498.8,2970,65535,2969
10498.8,2970,65535,2969
10499.0,3323,65535,3322
10499.0,3323,65535,3322
10499.0,3323,65535,3322
10499.0,3638,65535,3638
10499.0,3638,65535,3638
10499.1,3926,65535,3926
10499.2,3926,65535,3926
10499.2,3926,65535,3926
10499.2,3926,65535,3926
10499.3,4194,65535,4193
10499.3,4194,65535,4193
10499.3,4194,65535,4193
10499.4,4444,65535,4443
10499.4,4444,65535,4443
10499.4,4444,65535,4443
10499.4,4444,65535,4443
10499.4,4680,65535,4679
10499.5,4680,65535,4679
10999.2,1024,63488,1024
10999.4,1024,63488,1024
10999.6,2048,64512,2048
10999.6,2048,64512,2048
10999.7,2048,64512,2048
11499.2,1024,64512,1024
11499.3,1024,64512,1024
11999.0,1024,64512,1024
11999.1,1024,64512,1024
12498.7,1024,64512,1024
12498.7,1024,64512,1024
12998.5,1024,64512,1024
12998.6,1024,64512,1024
12998.8,2048,65535,2048
12998.9,2048,65535,2048
12999.0,2048,65535,2048
13498.7,1024,65535,1024
13498.8,1024,65535,1024
13998.4,1024,65535,1024
13998.5,1024,65535,1024
14498.1,1024,65535,1024
14498.2,1024,65535,1024
14498.4,2048,65535,2048
14498.5,2048,65535,2048
14498.5,2048,65535,2048
14998.1,1024,65535,1024
14998.2,1024,65535,1024
15497.9,1024,65535,1024
15498.0,1024,65535,1024
15997.6,1024,65535,1024
15997.7,1024,65535,1024
16497.2,1024,65535,1024
16497.3,1024,65535,1024
16997.0,1024,65535,1024
16997.1,1024,65535,1024
16997.3,2048,65535,2048
16997.3,2048,65535,2048
16997.3,2048,65535,2048
17497.0,1024,65535,1024
17497.1,1024,65535,1024
17497.2,2048,65535,2048
17497.3,2048,65535,2048
17497.3,2048,65535,2048
17497.4,2560,65535,2560
17497.5,2560,65535,2560
17997.3,1024,64512,1024
17997.3,1024,64512,1024
18497.9,1024,64512,1024
18497.9,1024,64512,1024
18997.6,1024,64512,1024
18997.6,1024,64512,1024
19497.4,1024,64512,1024
19497.5,1024,64512,1024
19997.2,1024,64512,1024
19997.4,1024,64512,1024
19997.5,2048,65535,2048
19997.6,2048,65535,2048
19997.6,2048,65535,2048
20497.3,1024,65535,1024
20497.5,1024,65535,1024
20497.7,2048,65535,2048
20497.7,2048,65535,2048
20497.7,2048,65535,2048
20497.9,2560,65535,2560
20497.9,2560,65535,2560
20997.6,1024,65535,1024
20997.9,1024,65535,1024
20998.1,2048,65535,2048
20998.8,2048,65535,2048
20998.8,2048,65535,2048
20998.9,2560,65535,2560
20998.9,2560,65535,2560
20999.0,2970,65535,2969
20999.0,2970,65535,2969
20999.0,3323,65535,3322
20999.1,3323,65535,3322
20999.1,3323,65535,3322
21498.8,1024,63488,1024
21498.9,1024,63488,1024
21499.0,2048,65535,2048
