tempo_ms,cwnd,rwnd,janela_efetiva
0.7,1024,65535,1024
0.7,1024,65535,1024
0.8,2048,65535,2048
0.9,2048,65535,2048
0.9,2048,65535,2048
1.0,2560,65535,2560
1.0,2560,65535,2560
1.1,2970,65535,2969
1.2,2970,65535,2969
1.2,2970,65535,2969
1.2,3323,65535,3322
1.2,3323,65535,3322
1.2,3323,65535,3322
1.2,3638,65535,3638
1.3,3638,65535,3638
501.0,1024,63488,1024
501.2,1024,63488,1024
501.4,2048,65535,2048
501.4,2048,65535,2048
501.5,2048,65535,2048
1001.2,1024,65535,1024
1001.3,1024,65535,1024
1500.9,1024,65535,1024
1501.0,1024,65535,1024
1501.2,2048,65535,2048
1501.3,2048,65535,2048
1501.3,2048,65535,2048
1501.4,2560,65535,2560
1501.4,2560,65535,2560
1501.4,2560,65535,2560
1501.5,2970,65535,2969
1501.5,2970,65535,2969
1501.6,3323,65535,3322
1501.7,3323,65535,3322
1501.7,3323,65535,3322
2001.7,1024,63488,1024
2001.8,1024,63488,1024
2002.0,2048,65535,2048
2002.1,2048,65535,2048
2002.1,2048,65535,2048
2501.9,1024,65535,1024
2502.1,1024,65535,1024
3002.4,1024,65535,1024
3002.6,1024,65535,1024
3002.9,2048,65535,2048
3003.0,2048,65535,2048
3003.0,2048,65535,2048
3502.7,1024,65535,1024
3502.8,1024,65535,1024
3503.0,2048,65535,2048
3503.0,2048,65535,2048
3503.1,2048,65535,2048
3503.2,2560,65535,2560
3503.3,2560,65535,2560
3503.3,2560,65535,2560
3503.4,2970,65535,2969
3503.5,2970,65535,2969
3503.5,3323,65535,3322
3503.5,3323,65535,3322
3503.6,3323,65535,3322
3503.6,3638,65535,3638
3503.7,3638,65535,3638
3503.7,3926,65535,3926
3503.7,3926,65535,3926
4003.5,1024,63488,1024
4003.7,1024,63488,1024
4004.7,2048,65535,2048
4004.8,2048,65535,2048
4004.9,2048,65535,2048
4505.4,1024,65535,1024
4505.5,1024,65535,1024
4505.6,2048,65535,2048
4505.8,2048,65535,2048
4505.8,2048,65535,2048
4505.8,2560,65535,2560
4505.9,2560,65535,2560
5005.6,1024,64512,1024
5005.7,1024,64512,1024
5005.9,2048,65535,2048
5005.9,2048,65535,2048
5005.9,2048,65535,2048
5006.3,2560,65535,2560
5006.3,2560,65535,2560
5006.3,2560,65535,2560
5006.5,2970,65535,2969
5006.5,2970,65535,2969
5006.6,3323,65535,3322
5006.6,3323,65535,3322
5006.6,3323,65535,3322
5006.6,3638,65535,3638
5006.7,3638,65535,3638
5006.7,3926,65535,3926
5006.7,3926,65535,3926
5006.7,4194,65535,4193
5006.7,4194,65535,4193
5006.7,4194,65535,4193
5006.7,4444,65535,4443
5006.7,4444,65535,4443
5006.8,4680,65535,4679
5006.8,4680,65535,4679
5006.8,4904,65535,4903
5006.8,4904,65535,4903
5006.8,5117,65535,5117
5006.8,5117,65535,5117
5006.8,5322,65535,5322
5006.8,5322,65535,5322
5006.8,5322,65535,5322
5006.8,5519,65535,5519
5006.9,5519,65535,5519
5006.9,5709,65535,5709
5006.9,5709,65535,5709
5006.9,5893,65535,5893
5007.0,6071,65535,6070
5007.1,6244,65535,6243
5007.2,6412,65535,6411
